Year,Alum Band ID,Frequency,Nest Attempt,Bird Capture Site,NestID,FlagLat,FlagLong,FlagBear,NestLat,NestLong,Nest Description,Clutch Size,Date Counted,FloatA,FloatB,FloatC,FloatD,FloatAverage,Est.Laying.Initiation,EstimatedHatch,Fate,Comments
2020,1621,149.813,1,Monson,1621-2020-1,45.50391,-69.46516,296,45.50407,-69.4657,"shallow bowl underneath a downed white birch top and adjacent to a small, recently-cut stump; nest was within a large and recently-harvested clearcut",12,5/26/2020,16,16,16,16,16,4/28/2020,6/6/2020,0,Has been back on nest each time that I checked since the flush
2020,1624,149.622,1,Monson,1624-2020-1,45.43751,-69.49446,343,45.43798,-69.49474,"shallow depression underneath a small (~4-5') balsam fir sapling within a clearcut that was harvested ~7 years ago; bird flew from nest a short distance, and according to signal, didn't venture far; nest opening was on south side of fir tree (where it would gain most sun)",14,5/27/2020,16,16,16,16,16,4/27/2020,6/7/2020,0,has returned to nest on subsequent visits since the flush
2020,411,149.333,1,Brad St,411-2020-1,44.79784,-69.28165,129,44.79764,-69.28132,,10,5/28/2020,15,14,16,15,15,5/3/2020,6/9/2020,1,"adult killed, some eggs eaten remained egs cracked and or cold"
2020,1564,149.822,1,McCallister-Hampden,1564-2020-1,44.71921,-68.85309,360,44.719361,-68.853163,Nest on small hummock of leaves and softwood saplings.  Hummock surrounded by standing water/vernal pools in hardwood dominated bottom land forest,10,5/20/2020,6-8,6-8,6-8,6-8,7,5/4/2020,6/9/2020,1,"Close to nest on 5/21/2020 check but not likely on based on signal direction, off nest on 5/25/2020 and not heard.  10 Cold eggs in nest."
2020,446,149.4726,1,Davis Oil,446-2020-1,,,,44.85737,-68.755068,"Under 4' balsam sapling, leaf litter and small cwd, balsam pole snag within 1m of nest",10,5/15/2020,0,3,0,0,1,5/4/2020,6/10/2020,1,Abandoned due to early disturbance.
2020,1552,149.732,1,Davis Oil,1552-2020-1,,,,45.006793,-68.817578,"In slash pile, good horizontal cover from pine branches/needles, nest bowl in duff layer",13,6/1/2020,16,16,16,16,16,5/3/2020,6/12/2020,0,"PHD accurate. Hatched 12/13 eggs, one egg whole, membranes still wet! Very fresh, hen close to nest and random veg point so waited to conduct veg sampling."
2020,1565,150.772,1,McCallister-Hampden,1565-2020-1,44.720425,-68.874534,276,44.720571,-68.874869,"In Bramble/Briar patch hummock 6 feet from the edge of the water in a beaver flowage.  Nest bowl in patted down, dead grass pocket.",10,5/20/2020,3,3,3,3,3,5/18/2020,6/13/2020,0,Hatch - Found remains of 8 of 10 eggs.  Estimated hatch on 6/9 based on 6/8 attendance and condition of eggs early am on 6/11
2020,1622,150.93,1,Monson,1622-2020-1,,,,45.44447,-69.4442,shallow depression underneath the limbs of a 6' tall red pine on north side of tree in a replanted clearcut,13,NA,NA,NA,NA,NA,NA,5/6/2020,6/15/2020,0,"11 different eggs found (8 hatched, 3 whole)"
2020,1625,150.452,1,Monson,1625-2020-1,45.46722,-69.51987,308,45.46733,-69.52026,shallow depression underneath a fallen balsam fir--nest was about 20' from a propane tank near a seasonal camp,10,6/4/2020,16,16,15,16,15.75,5/9/2020,6/15/2020,0,"left nest doing the broken wing display--never flew, just walked off"
2020,838,149.352,1,Glenburn,838-2020-1,,,,45.17443,-69.07964,,13,5/26/2020,7,7,7,7,7,5/6/2020,6/15/2020,1,Nest depradated featehrs and shells found near nest bowl
2020,1627,149.203,1,Monson,1627-2020-1,45.43919,-69.41578,330,45.43922,-69.41585,shallow depression underneath the limbs of a 5' red pine within a regenerating clearcut,11,6/4/2020,16,16,16,16,16,5/8/2020,6/15/2020,1,
2020,438,149.371,1,Parker,438-2020-1,45.02797,-68.5542,280,45.02812,-68.55753,depression on raised mound encirlced by downed balsam firs,9,6/8/2020,16,16,16,16,16,5/14/2020,6/19/2020,0,"7 egg caps found, two intact eggs 3m from nest were depredated with holes punched in the sides; hen transmitter not located"
2020,842,149.782,1,Bradbury,842-2020-1,45.00609,-68.38357,212,45.00579,-68.38341,in briar patch ~ 10m from dirt road,13,5/28/2020,6-8,3,3,0,3.25,5/12/2020,6/21/2020,0,"7 egg caps found, 1 intact egg (unfertilized when opened); hen w/i 50m"
